phrase,word1,word2,word1_length,word2_length,avg_length,familiarity,avg_zipf,categories,tone_score,tag_A,tag_D,tag_S
hot dog,hot,dog,3,3,3.0,5,6.5,food,5,0,0,0
ice cream,ice,cream,3,5,4.0,5,6.5,food,5,0,0,0
card game,card,game,4,4,4.0,5,6.5,object_neutral,5,0,0,0
front door,front,door,5,4,4.5,5,6.5,household,5,0,0,0
high school,high,school,4,6,5.0,5,6.5,civic,25,0,0,0
fire truck,fire,truck,4,5,4.5,5,6.5,transport,10,0,0,0
rain coat,rain,coat,4,4,4.0,4,5.5,clothing,10,0,0,0
seat belt,seat,belt,4,4,4.0,5,6.5,transport,10,0,0,0
bus stop,bus,stop,3,4,3.5,5,6.5,transport,10,0,0,0
stop sign,stop,sign,4,4,4.0,5,6.5,transport,10,0,1,1
sign post,sign,post,4,4,4.0,4,5.5,object_neutral,5,0,0,1
post card,post,card,4,4,4.0,4,5.5,communication,20,0,0,0
credit card,credit,card,6,4,5.0,5,6.5,commerce,15,0,0,0
card table,card,table,4,5,4.5,4,5.5,household,5,0,0,0
table lamp,table,lamp,5,4,4.5,4,5.5,household,5,0,0,0
window shade,window,shade,6,5,5.5,4,5.5,household,5,0,0,0
window seat,window,seat,6,4,5.0,4,5.5,household,5,0,0,0
car seat,car,seat,3,4,3.5,5,6.5,transport,10,0,0,0
car wash,car,wash,3,4,3.5,5,6.5,commerce,15,0,0,0
hand wash,hand,wash,4,4,4.0,5,6.5,household,5,0,0,0
dish soap,dish,soap,4,4,4.0,4,5.5,household,5,0,0,0
soap dish,soap,dish,4,4,4.0,4,5.5,household,5,0,0,0
side dish,side,dish,4,4,4.0,5,6.5,food,5,1,0,0
side door,side,door,4,4,4.0,5,6.5,household,5,1,0,0
back door,back,door,4,4,4.0,5,6.5,household,5,0,0,0
door frame,door,frame,4,5,4.5,4,5.5,household,5,0,0,0
picture frame,picture,frame,7,5,6.0,4,5.5,household,5,0,0,0
time frame,time,frame,4,5,4.5,4,5.5,object_neutral,5,0,0,0
spare time,spare,time,5,4,4.5,4,5.5,object_neutral,5,0,0,0
time zone,time,zone,4,4,4.0,4,5.5,object_neutral,5,0,0,0
war zone,war,zone,3,4,3.5,4,5.5,civic,25,0,0,0
safe zone,safe,zone,4,4,4.0,4,5.5,object_neutral,5,0,0,0
comfort zone,comfort,zone,7,4,5.5,4,5.5,object_neutral,5,0,0,0
end zone,end,zone,3,4,3.5,4,5.5,object_neutral,5,0,0,0
school zone,school,zone,6,4,5.0,4,5.5,civic,25,0,0,0
school bus,school,bus,6,3,4.5,5,6.5,transport,10,0,0,0
tour bus,tour,bus,4,3,3.5,4,5.5,transport,10,0,0,0
bus route,bus,route,3,5,4.0,4,5.5,transport,10,0,0,0
trade route,trade,route,5,5,5.0,3,5.0,commerce;trade,15,0,0,0
trade show,trade,show,5,4,4.5,4,5.5,commerce,15,0,0,0
talk show,talk,show,4,4,4.0,4,5.5,communication,20,0,0,0
dinner time,dinner,time,6,4,5.0,5,6.5,food,5,0,0,0
tool box,tool,box,4,3,3.5,4,5.5,household,5,0,0,0
box car,box,car,3,3,3.0,4,5.5,transport,10,0,0,0
toy car,toy,car,3,3,3.0,5,6.5,object_neutral,5,0,0,0
race car,race,car,4,3,3.5,5,6.5,transport,10,0,0,0
car door,car,door,3,4,3.5,5,6.5,transport,10,0,0,0
garage door,garage,door,6,4,5.0,4,5.5,household,5,0,0,0
front porch,front,porch,5,5,5.0,4,5.5,architecture,15,0,0,0
porch swing,porch,swing,5,5,5.0,4,5.5,household,5,0,0,0
swing set,swing,set,5,3,4.0,4,5.5,object_neutral,5,0,0,0
tea set,tea,set,3,3,3.0,4,5.5,household,5,0,0,0
cake pan,cake,pan,4,3,3.5,4,5.5,household,5,0,0,0
frying pan,frying,pan,6,3,4.5,4,5.5,household,5,0,0,0
pan handle,pan,handle,3,6,4.5,4,5.5,household,5,0,0,0
door handle,door,handle,4,6,5.0,4,5.5,household,5,0,0,0
broom handle,broom,handle,5,6,5.5,4,5.5,household,5,0,0,0
broom closet,broom,closet,5,6,5.5,4,5.5,household,5,0,0,0
coat closet,coat,closet,4,6,5.0,4,5.5,household,5,0,0,0
coat rack,coat,rack,4,4,4.0,4,5.5,household,5,0,0,0
bike rack,bike,rack,4,4,4.0,4,5.5,object_neutral,5,0,0,0
bike path,bike,path,4,4,4.0,4,5.5,transport,10,0,0,0
